name,country,max,min,mean,median
Bayern Munich,Germany,1.34,1.22,1.2822727272727275,1.29
Bor Dortmund,Germany,4.5,3.5,4.0677272727272724,4.0
Bayer Leverkusen,Germany,46.0,26.0,31.045454545454547,30.0
Schalke 04,Germany,91.0,41.0,67.272727272727266,67.0
VfL Wolfsburg,Germany,176.0,67.0,114.77272727272727,101.0
Werder Bremen,Germany,475.0,126.0,259.04545454545456,226.0
Bor Monchengladbach,Germany,485.0,101.0,212.68181818181819,151.0
Hamburg,Germany,760.0,151.0,303.63636363636363,251.0
VfB Stuttgart,Germany,501.0,151.0,273.36363636363637,251.0
Hannover 96,Germany,801.0,101.0,278.27272727272725,251.0
Mainz 05,Germany,801.0,101.0,363.09090909090907,301.0
Eintracht Frankfurt,Germany,801.0,201.0,486.36363636363637,501.0
Hoffenheim,Germany,801.0,151.0,428.63636363636363,351.0
Freiburg,Germany,950.0,251.0,548.22727272727275,501.0
Hertha Berlin,Germany,1251.0,151.0,444.90909090909093,373.0
Nurnberg,Germany,2501.0,251.0,964.5454545454545,819.5
Augsburg,Germany,3001.0,501.0,1453.1818181818182,1376.0
Braunschweig,Germany,6001.0,501.0,2885.0,2750.5
Barcelona,Spain,1.81,1.57,1.6768181818181818,1.6699999999999999
Real Madrid,Spain,2.38,2.1,2.2313636363636364,2.25
Atletico Madrid,Spain,67.0,1.36,47.789090909090916,51.0
Valencia,Spain,485.0,9.0,205.22727272727272,201.0
Real Sociedad,Spain,501.0,12.0,286.0,301.0
Athl Bilbao,Spain,751.0,15.0,474.18181818181819,501.0
Sevilla,Spain,1251.0,26.0,527.33333333333337,432.0
Betis,Spain,1501.0,34.0,754.0454545454545,601.0
Espanyol,Spain,2001.0,41.0,1047.7368421052631,1001.0
Malaga,Spain,3000.0,51.0,911.66666666666663,703.0
Celta Vigo,Spain,3001.0,81.0,1640.578947368421,2001.0
Villarreal,Spain,3001.0,34.0,1126.8333333333333,1001.0
Getafe,Spain,3500.0,67.0,1613.5263157894738,2001.0
Valladolid,Spain,3501.0,154.0,2173.2105263157896,2501.0
Levante,Spain,4000.0,126.0,2090.3157894736842,2501.0
Granada,Spain,5001.0,101.0,2720.5789473684213,3001.0
Rayo Vallecano,Spain,7501.0,151.0,2170.5789473684213,1501.0
Osasuna,Spain,7501.0,154.0,3084.1052631578946,3001.0
Almeria,Spain,9001.0,154.0,5030.5,5001.0
Elche,Spain,9001.0,154.0,5162.6842105263158,5001.0
Man City,England,3.05,2.75,2.9178260869565222,2.8999999999999999
Chelsea,England,3.38,2.88,3.0534782608695652,3.0
Man Utd,England,5.0,4.33,4.8343478260869563,5.0
Liverpool,England,13.0,10.0,12.086956521739131,12.0
Arsenal,England,15.0,12.0,13.382608695652172,13.0
Tottenham,England,23.0,19.0,21.347826086956523,21.0
Everton,England,1001.0,251.0,552.91304347826087,501.0
Southampton,England,2001.0,625.0,1601.5217391304348,1501.0
Aston Villa,England,2001.0,660.0,1546.8695652173913,1501.0
Swansea,England,2501.0,660.0,1655.5652173913043,1501.0
Fulham,England,3001.0,660.0,2199.0434782608695,2001.0
Newcastle,England,3001.0,660.0,1590.3478260869565,1501.0
West Ham,England,3001.0,660.0,2046.8695652173913,2001.0
West Brom,England,4001.0,660.0,2220.782608695652,2001.0
Norwich,England,5001.0,660.0,3548.9545454545455,4001.0
Stoke,England,5001.0,660.0,2776.2272727272725,3000.0
Sunderland,England,5001.0,660.0,3048.9545454545455,3001.0
Cardiff,England,7501.0,660.0,4412.590909090909,5001.0
Hull,England,7501.0,660.0,5685.318181818182,6250.5
Crystal Palace,England,15001.0,660.0,7617.045454545455,7501.0
PSG,France,1.53,1.4,1.4463636363636363,1.4399999999999999
Monaco,France,3.5,3.0,3.2886363636363636,3.29
Marseille,France,48.0,15.0,20.0,15.5
Lyon,France,71.0,26.0,39.727272727272727,37.0
Lille,France,51.0,18.0,42.390909090909091,41.0
St Etienne,France,101.0,51.0,71.590909090909093,67.0
Rennes,France,251.0,64.0,181.09090909090909,176.0
Bordeaux,France,251.0,134.0,210.77272727272728,201.0
Nice,France,301.0,37.0,208.45454545454547,201.0
Toulouse,France,501.0,64.0,384.66666666666669,401.0
Lorient,France,501.0,68.0,328.14285714285717,301.0
Montpellier,France,501.0,98.0,291.22727272727275,251.0
Bastia,France,1001.0,64.0,658.85000000000002,751.0
Reims,France,1001.0,64.0,678.85000000000002,751.0
Sochaux,France,1001.0,64.0,753.85000000000002,801.0
Valenciennes,France,1001.0,64.0,666.35000000000002,751.0
Ajaccio,France,1501.0,64.0,891.35000000000002,1000.5
Evian,France,1501.0,64.0,886.35000000000002,1001.0
Guingamp,France,2001.0,64.0,1148.8499999999999,1126.0
Nantes,France,2001.0,64.0,1130.3157894736842,1251.0
Juventus,Italy,1.67,1.56,1.6173913043478265,1.6200000000000001
Napoli,Italy,6.51,5.0,5.9060869565217393,6.0
AC Milan,Italy,9.0,6.5,7.7999999999999989,8.0
Fiorentina,Italy,15.3,10.0,13.373913043478263,13.0
Inter,Italy,16.0,10.0,12.513043478260867,12.0
Roma,Italy,26.0,13.0,18.434782608695652,17.0
Lazio,Italy,124.0,34.0,76.173913043478265,67.0
Udinese,Italy,251.0,100.0,136.43478260869566,101.0
Catania,Italy,950.0,500.0,598.39999999999998,501.0
Parma,Italy,950.0,201.0,545.89999999999998,501.0
Cagliari,Italy,1001.0,120.0,621.64999999999998,750.5
Atalanta,Italy,1001.0,501.0,723.39999999999998,751.0
Bologna,Italy,1001.0,501.0,873.39999999999998,975.0
Genoa,Italy,1001.0,501.0,748.39999999999998,751.0
Sampdoria,Italy,1001.0,501.0,673.39999999999998,750.0
Torino,Italy,1001.0,401.0,750.89999999999998,751.0
Chievo,Italy,1501.0,501.0,898.39999999999998,975.0
Livorno,Italy,2001.0,501.0,1275.8888888888889,1001.0
Verona,Italy,2001.0,501.0,1010.9,1000.5
Sassuolo,Italy,2501.0,501.0,1410.9000000000001,1501.0
Celtic,Scotland,1.05,1.0,1.0113636363636367,1.01
Motherwell,Scotland,81.0,26.0,58.81818181818182,67.0
Inverness,Scotland,101.0,27.0,66.772727272727266,67.0
Aberdeen,Scotland,151.0,37.0,83.090909090909093,75.0
St Johnstone,Scotland,251.0,92.0,196.68181818181819,201.0
Dundee Utd,Scotland,401.0,92.0,211.45454545454547,201.0
Hibernian,Scotland,501.0,92.0,291.0,300.0
Partick,Scotland,751.0,84.0,394.36363636363637,425.5
Ross County,Scotland,751.0,92.0,466.0,501.0
Kilmarnock,Scotland,1001.0,92.0,577.36363636363637,501.0
St Mirren,Scotland,2001.0,92.0,936.4545454545455,1000.0
Hearts,Scotland,5000.0,92.0,1147.8181818181818,751.0
Cruzeiro,Brazil,2.5,1.59,1.9633333333333332,1.8
Botafogo RJ,Brazil,6.0,3.85,4.9500000000000002,5.0
Gremio,Brazil,7.0,4.61,6.2033333333333331,7.0
Corinthians SP,Brazil,12.0,9.0,10.799999999999999,11.4
Internacional RS,Brazil,21.0,4.04,11.68,10.0
Atletico PR,Brazil,41.0,10.0,20.800000000000001,11.4
Atletico Mineiro,Brazil,52.0,41.0,47.666666666666664,50.0
Coritiba,Brazil,51.0,22.0,34.333333333333336,30.0
Santos SP,Brazil,51.0,27.0,39.333333333333336,40.0
Fluminense RJ,Brazil,62.0,50.0,57.666666666666664,61.0
Vasco da Gama,Brazil,81.0,22.0,51.0,50.0
Goias GO,Brazil,101.0,30.0,54.333333333333336,32.0
Flamengo,Brazil,101.0,50.0,75.666666666666671,76.0
Sao Paulo,Brazil,126.0,62.0,96.0,100.0
Vitoria,Brazil,151.0,32.0,77.666666666666671,50.0
Bahia,Brazil,151.0,48.0,83.0,50.0
Criciuma,Brazil,151.0,76.0,109.0,100.0
Ponte Preta,Brazil,501.0,32.0,266.5,266.5
Portuguesa,Brazil,751.0,32.0,391.5,391.5
Nautico PE,Brazil,2001.0,32.0,1016.5,1016.5
